new_id,original_id,unique_idx,topic,label,TEXT
1,3385,37322,race,0,由于中亚是黄种人白种人冲突的前沿，所以那地方的人基本都是黄白混血。但起家于图兰草原的突厥人祖先图兰人，基本可以确定是白人为主的。
2,8000,21415,race,1,突然理解了微博视频上美国黑人抢劫，一群女人都不反抗直接把包递过去……
3,4402,11416,race,1,又不是叫黑鬼牙膏，这么敏感吗？黑人应该是一个很平常的称呼，
4,2791,9931,gender,0,不是歧视，歧视对方不会问对方拿钱，比如有种族歧视的白人绝不会对黑人说你拿钱来就能娶我女儿。
5,2127,22401,region,0,肠粉在广东不放小米辣？？有一次肠粉的小米辣没有了我就没要。。没有小米辣的肠粉不是好吃的肠粉！
6,6425,19512,region,0,新疆一直到民国都还是个军阀控制的，清朝也就和元朝，明朝一样名义上属于你大清，实际上还是人家自己自治。直到50年代才算真正归中央政府管理
7,6287,9123,region,0,我室友 甘肃的 很喜欢杠 看了这层评论加深了认识
8,5511,9216,region,0,终于在知乎看到我大四川的香肠了！吼！！！想回家过年了呜呜呜
9,16,32877,region,1,说我为了黑而黑，请你先骂骂无良媒体人民日报，紫光阁，他们都在黑你们。山大出了败坏名誉的事，本是领导和制度的问题，但是看着你们护校神教上窜下跳，为了维护山大不惜把四川一起黑，真可谓上梁不正下梁歪啊
10,10583,30189,race,1,首先我一开始很素质的说话你一上来就喷其次你们确实是觉得恶心不恶心不管我的事就是看不惯你这种人 再者黑人不带脏字这种话难道没有听过吗？不然真是素质黑 然后的话教养是个好东西
11,93,5257,gender,0,主要嗜新鲜圣女果[思考]
12,7009,8193,race,1,发声对了才有用，发声减少暴力回归家庭搞好教育遵守法律，这是出名黑人该做的事，这样做的太少了。
13,4520,5361,gender,0,歧视在哪了？因为文中说的就是个女儿拿女性比有问题？
14,3761,2675,race,1,"要知道自川普上台以来，所有美国公司对于提拔华人高管尤其是来自大陆地区的都是战战兢兢的。,印度人真的比国人牛逼吗？不见得吧。印度人能干的事中国人干不了？还是印度的教育比中国更牛逼？都不见得吧。"
15,1837,22610,region,0,四川人日常生活中并不会用这个词了
16,1959,13136,region,0,等等，谁看不起河南人了？不能因为几个地域黑就以偏概全。我觉得河南人就很棒啊。
17,12190,1972,race,0,建议你做郑多燕，或者跟着T25里面那个亚裔妹子做。insanity很多蹦跳动作，对膝盖负担有点大
18,1699,9873,region,1,因为我就是河南的呀，了解河南人的特质，不要自欺欺人了，素质不高我们承认就好了
19,7096,28827,race,1,见着黑人就想掏枪打空弹夹
20,4037,1302,region,0,你意思 国内蒙古人不是中国人？
21,9287,19259,race,0,不管怎么样我都希望日本能更好，毕竟看到黄种人了。
22,4189,34558,region,1,什么德国人？应该学广东从小叫鬼佬。嗯，听着就觉得他们低我们一等。
23,1180,15817,region,1,你呀 别给你们东北人招黑了都二十一世纪了还在那bb动手动手的 只会让人觉得你们东北人只发育了四肢没发育大脑 这年头打架的成本多高没想过？能讲道理解决的事情你去动手？警察干嘛的 ？中国法律干嘛的？
24,1348,16409,gender,1,额，我就歧视艾滋病患者怎么地。艾滋病患者弄得全世界都欠他们的一样，这个世界怎么了？看这样子下去，知乎上的汉族无神论者的直男难道就该死？
25,242,16117,race,1,"这个社会从来没有歧视女性，歧视男性，他们只是歧视弱势，但是他们不肯承认歧视弱势，所以找了个理由说歧视女性，歧视男性而已。,既得利益者和弱势群体，"
26,11011,24320,race,0,你黑人家翻译干什么，人演的挺好的
27,1878,12219,race,0,是真的 亚裔70KG卧推186KG 可以搜一下
28,12311,22955,race,0,好像儒家文化影响下的文化都特别勤劳。同是农耕文明，东亚人就比东南亚人勤劳。不知道为什么。。。总觉得东亚人活的很苦逼。。。
29,5056,32686,region,0,是哪位说河南全省都是骗子的啊，你可以直接去抽之
30,3579,8804,region,0,南方有的地方冬天的确挺冷 你应该吐槽的是 这老哥是在广西 我去过南宁 我哥们跟我说那地方年平均气温二十几度 最低气温零度左右 而且持续时间不会超过两周 这老哥在桂林 位置靠北一些 但是温度应该也低不了三度……可能对南方人来说的确天寒地冻吧
31,5255,972,region,0,嘤，毕竟南京的211。苏南人不爱出省是真的(除了上海[捂脸]) 属于上了嫌弃，但又不肯出省
32,2560,8779,region,0,你可能是对上海上下班高峰的地铁拥挤情况没有直观认识
33,6128,11272,race,1,歧视亚裔的动作是拉眯缝眼不是竖中指
34,5319,782,race,1,看郭敬明的书 我印象最深的一句话是 站在巨大的落地窗前，看着黄浦江我才知道是在上海（大概是这个意思的一句话）我黑人问号脸 合着我家没窗户 或者我不看窗外 我不知道我自己在哪？有那么智障的人的？
35,1392,8689,race,0,就跟北京篮球队的那个邱天一样，混血儿，爸爸黑人但是从小就在北京长大，普通话流利
36,5257,16644,race,1,"所以我不同意先动手,，免得逼国家为难。如果黑人先动手了，我支持你动手。我碰到骚扰我的黑人，一次把人给推下高台，一次喊他滚回老家，可不会干些逼国家站队的事。毕竟已经有女性参加打架，主动用武器被视为主要过错方的例子的。"
37,3114,17679,race,1,中国人可不是印度人这么自信取得一点小小的成就就沾沾自喜，中国就算gdp总量超过美国，人均收入离美国还差100年水平，还有科技教育大学文化世界影响力都差很多。我不认为中国人到时候就会对美国人有优越感。
38,1426,15819,gender,1,打女人是最没本事的
39,420,10798,race,0,支持你。我也不是art major，我这学期上了drawing for non majors，过了十节课左右也画了两节裸模。第一节画的年轻黑人小哥，第二节画的白人大叔。该开始感觉有点儿变扭，但是接下来基本都在头疼怎么画好………
40,4738,29960,race,1,我操。。。。这尼玛黑鬼这么畜牲，为啥看的上这黑人了就？
41,4670,4963,gender,0,是啊，我觉得这位母亲被人扣上重男轻女的帽子有点冤哦。如果出了这种事我宁愿我妈先救弟弟，难道我也是重男轻女吗？
42,668,13833,gender,0,敬爷爷，好样。我农村家庭都指望生女儿出嫁前挣钱给父母盖房，结婚给礼金越多越有面子，我爷爷一直说挣多少钱是个头，够用就行，父母要让他们自己挣去
43,4843,5412,gender,1,劝女人要嫁三观对的人这是假女权？所以是乱嫁人不管对方三观才政治正确？恕我无法理解。
44,8212,4523,race,1,歧视黑人就是不对，然后歧视华人
45,3388,35388,race,0,见过很多印度人，一般都吃素，身体素质很好，很聪明，所以楼主能救出来真心不容易
46,903,1634,gender,0,其实父母也为难，我也有这样的妈妈，但我的学费，我买房买车的钱，就是这样的妈妈省出来的。虽然成长之路有很多遗憾，但庆幸我自己的女儿能够不再经历这些。人穷志不穷。
47,2162,28237,region,1,一直说只需要普通话就够了，普通话花好桃好的。可是能不能请在我们普通话说不好，推广不好的前提下再来打压上海话？现在的状况就是上海几乎是非官话地区普通话的NO1，就这样了还是继续打击，彻底无语。
48,8288,31539,race,1,你确定8090是年代黑人没杀人？那时候警察见黑人手放在背后都是提心吊胆的。你这种人就是无知喷粪的人，你还是去贴吧混吧，比较适合你乱扔语言垃圾。
49,3732,32166,region,1,我不太清楚，貌似广西、云南的一些地方，或许还有别的什么地方，并没有江浙沪皖这边太平。我们这边最多挤公交的时候遇到小偷。
50,143,21933,region,1,听到河南我就笑了(我不是地域黑)但是河南真的遭黑啊，每次看到奇葩理论问哪的都说河南的
51,13364,18603,race,0,答住，某手机可拍4k 85mbps的视频，（不是爱疯6s）可否作为拍个人业余视频纪录片的器材？之前看过老外用6s拍了个4k纪录片，关于一个黑人油漆画家的。当然他们用了一些手机镜头，支架等。
